Event,Team,Date,Time,Location,Description
Basketball Game,TIGERS,2/16/2013,3:00 PM,Salem Middle School,BISONS VS TIGERS
Basketball Game,VOLCANOS,2/16/2013,4:00 PM,Salem Middle School,VOLCANOS VS KINGS
Basketball Game,KINGS,2/16/2013,4:00 PM,Salem Middle School,VOLCANOS VS KINGS
Basketball Game,BOBCATS,2/23/2013,9:00 AM,Salem Middle School,BOBCATS VS THUNDERBOLTS
Basketball Game,THUNDERBOLTS,2/23/2013,9:00 AM,Salem Middle School,BOBCATS VS THUNDERBOLTS
Basketball Game,BAZOOKAS,2/23/2013,10:00 AM,Salem Middle School,BAZOOKAS VS JUGGERNAUTS
Basketball Game,JUGGERNAUTS,2/23/2013,10:00 AM,Salem Middle School,BAZOOKAS VS JUGGERNAUTS
Basketball Game,ZIPS,2/23/2013,11:00 AM,Salem Middle School,ZIPS VS VOLCANOS
Basketball Game,VOLCANOS,2/23/2013,11:00 AM,Salem Middle School,ZIPS VS VOLCANOS
Basketball Game,KINGS,2/23/2013,12:00 PM,Salem Middle School,KINGS VS BISONS
Basketball Practice,BISONS,1/9/2013,7:00 PM,Salem Middle School,BISONS / MATADORS / YELLOW JACKETS / KINGS
Basketball Game,PRAIRIE DOGS,2/23/2013,1:00 PM,Salem Middle School,PRAIRIE DOGS VS MATADORS
Basketball Game,MATADORS,2/23/2013,1:00 PM,Salem Middle School,PRAIRIE DOGS VS MATADORS
Basketball Game,PYTHONS,2/23/2013,2:00 PM,Salem Middle School,PYTHONS VS TIGERS
Basketball Game,TIGERS,2/23/2013,2:00 PM,Salem Middle School,PYTHONS VS TIGERS
Basketball Game,BUZZSAWS,2/23/2013,3:00 PM,Salem Middle School,BUZZSAWS VS BEARS
Basketball Game,BEARS,2/23/2013,3:00 PM,Salem Middle School,BUZZSAWS VS BEARS
Basketball Game,YELLOW JACKETS,2/23/2013,4:00 PM,Salem Middle School,YELLOW JACKETS VS JACKHAMMERS
Basketball Game,JACKHAMMERS,2/23/2013,4:00 PM,Salem Middle School,YELLOW JACKETS VS JACKHAMMERS
Basketball Practice,ZIPS,11/27/2012,7:00 PM,Salem Middle School,ZIPS / THUNDERBOLTS / BISONS / PRAIRIE DOGS
Basketball Practice,THUNDERBOLTS,11/27/2012,7:00 PM,Salem Middle School,ZIPS / THUNDERBOLTS / BISONS / PRAIRIE DOGS
Basketball Game,BISONS,1/12/2013,2:00 PM,Salem Middle School,BISONS VS THUNDERBOLTS
Basketball Practice,PRAIRIE DOGS,11/27/2012,7:00 PM,Salem Middle School,ZIPS / THUNDERBOLTS / BISONS / PRAIRIE DOGS
Basketball Practice,YELLOW JACKETS,11/27/2012,8:00 PM,Salem Middle School,YELLOW JACKETS / VOLCANOS / JACKHAMMERS / BOBCATS
Basketball Practice,VOLCANOS,11/27/2012,8:00 PM,Salem Middle School,YELLOW JACKETS / VOLCANOS / JACKHAMMERS / BOBCATS
Basketball Practice,JACKHAMMERS,11/27/2012,8:00 PM,Salem Middle School,YELLOW JACKETS / VOLCANOS / JACKHAMMERS / BOBCATS
Basketball Practice,BOBCATS,11/27/2012,8:00 PM,Salem Middle School,YELLOW JACKETS / VOLCANOS / JACKHAMMERS / BOBCATS
Basketball Practice,TIGERS,11/28/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / BUZZSAWS / KINGS
Basketball Practice,MATADORS,11/28/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / BUZZSAWS / KINGS
Basketball Practice,BUZZSAWS,11/28/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / BUZZSAWS / KINGS
Basketball Practice,KINGS,11/28/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / BUZZSAWS / KINGS
Basketball Practice,BEARS,11/29/2012,8:00 PM,Salem Middle School,BEARS / JUGGERNAUTS / BAZOOKAS / PYTHONS
Basketball Practice,JUGGERNAUTS,11/29/2012,8:00 PM,Salem Middle School,BEARS / JUGGERNAUTS / BAZOOKAS / PYTHONS
Basketball Practice,BAZOOKAS,11/29/2012,8:00 PM,Salem Middle School,BEARS / JUGGERNAUTS / BAZOOKAS / PYTHONS
Basketball Practice,PYTHONS,11/29/2012,8:00 PM,Salem Middle School,BEARS / JUGGERNAUTS / BAZOOKAS / PYTHONS
Basketball Practice,TIGERS,12/1/2012,9:00 AM,Salem Middle School,TIGERS / PYTHONS
